0.000000 0.010101
0.000000 0.010101 3
0.010101 0.020202 0
0.020202 0.030303 1
0.030303 0.040404 0
0.040404 0.050505 3
0.050505 0.060606 4
0.060606 0.070707 5
0.070707 0.080808 1
0.080808 0.090909 8
0.090909 0.101010 3
0.101010 0.111111 9
0.111111 0.121212 16
0.121212 0.131313 13
0.131313 0.141414 13
0.141414 0.151515 11
0.151515 0.161616 16
0.161616 0.171717 11
0.171717 0.181818 19
0.181818 0.191919 22
0.191919 0.202020 10
0.202020 0.212121 21
0.212121 0.222222 15
0.222222 0.232323 21
0.232323 0.242424 18
0.242424 0.252525 20
0.252525 0.262626 26
0.262626 0.272727 27
0.272727 0.282828 24
0.282828 0.292929 23
0.292929 0.303030 17
0.303030 0.313131 19
0.313131 0.323232 15
0.323232 0.333333 22
0.333333 0.343434 12
0.343434 0.353535 11
0.353535 0.363636 15
0.363636 0.373737 11
0.373737 0.383838 13
0.383838 0.393939 14
0.393939 0.404040 5
0.404040 0.414141 11
0.414141 0.424242 10
0.424242 0.434343 9
0.434343 0.444444 16
0.444444 0.454545 5
0.454545 0.464646 10
0.464646 0.474747 7
0.474747 0.484848 8
0.484848 0.494949 10
0.494949 0.505050 5
0.505050 0.515151 9
0.515151 0.525252 5
0.525252 0.535353 6
0.535353 0.545454 10
0.545454 0.555555 9
0.555555 0.565656 6
0.565656 0.575757 10
0.575757 0.585858 8
0.585858 0.595959 6
0.595959 0.606060 7
0.606060 0.616161 11
0.616161 0.626262 17
0.626262 0.636363 8
0.636363 0.646464 15
0.646464 0.656565 17
0.656565 0.666666 13
0.666666 0.676767 13
0.676767 0.686868 13
0.686868 0.696969 19
0.696969 0.707070 13
0.707070 0.717171 17
0.717171 0.727272 15
0.727272 0.737373 14
0.737373 0.747474 8
0.747474 0.757575 16
0.757575 0.767676 15
0.767676 0.777777 16
0.777777 0.787878 11
0.787878 0.797979 12
0.797979 0.808080 7
0.808080 0.818181 7
0.818181 0.828282 4
0.828282 0.838383 6
0.838383 0.848484 5
0.848484 0.858585 6
0.858585 0.868686 2
0.868686 0.878787 7
0.878787 0.888888 5
0.888888 0.898989 3
0.898989 0.909090 1
0.909090 0.919191 0
0.919191 0.929292 0
0.929292 0.939393 0
0.939393 0.949494 0
0.949494 0.959595 0
0.959595 0.969696 0
0.969696 0.979797 0
0.979797 0.989898 0
0.989898 0.999999 0
0.999999 1.010100 0
